stype,rt,diff,correct
2,1506.4,0,1
2,1947.8,2,0
2,1454.3,2,1
2,1393.2,3,1
2,1269.2,1,1
2,1176.2,0,1
2,1295.2,3,1
2,1234.2,3,1
2,1266.2,3,1
2,1183.3,1,1
2,1281.2,3,1
2,1274.2,2,1
2,1175.3,0,1
2,1230.2,2,1
2,1360.2,2,1
2,1289.3,3,1
2,1165.2,3,1
2,1285.3,1,1
2,1475.3,1,1
2,1542.2,2,1
2,1594.3,2,1
2,1217.2,3,1
2,1324.3,1,1
2,1357.2,2,1
2,1275.3,2,1
2,1174.2,3,1
2,1234.3,0,1
2,1236.2,2,1
2,1162.2,3,1
2,1675.3,1,1
2,1308.2,3,1
2,1136.3,0,1
2,1323.2,2,1
2,1242.2,1,1
2,1123.2,0,1
2,1267.2,1,1
2,1203.2,2,1
2,1164.2,1,1
2,1273.2,2,1
2,1172.3,3,1
2,1110.2,3,1
2,1241.2,2,1
2,1223.2,1,1
2,1147.2,3,1
2,1391.2,3,1
2,1190.2,3,1
2,1168.2,2,1
2,1293.2,0,1
2,1318.2,1,1
2,1285.2,1,1
2,1339.2,1,0
2,1320.2,1,1
2,1423.2,1,1
2,1258.2,2,1
2,1503.2,2,1
2,1171.2,3,1
2,1166.2,1,0
2,1410.2,2,1
2,1316.2,1,0
2,1335.2,1,1
2,1400.1,3,1
2,1097.2,3,1
2,1141.2,1,1
2,1080.2,2,1
2,1112.2,3,1
2,1139.2,2,1
2,1159.2,2,1
2,1085.2,1,1
2,1125.2,3,1
2,1198.1,1,1
2,1326.2,3,0
2,1130.2,3,1
2,1273.2,1,1
2,1299.1,3,1
2,1480.2,1,0
2,1135.1,2,1
2,1132.2,2,1
2,1531.2,2,0
2,1178.2,1,1
2,1140.2,2,0
2,1492.3,2,1
2,1403.2,2,1
2,1151.1,3,1
2,1216.2,3,1
2,1173.3,1,1
2,1180.1,3,1
2,1204.2,1,0
2,1063.2,2,1
2,1059.2,3,0
2,1203.2,0,1
2,1248.2,2,1
2,1506.2,1,1
2,1439.2,1,1
2,1246.2,2,1
2,1173.2,0,1
2,1185.2,0,1
2,1246.2,3,1
2,1718.2,2,0
2,1526.2,2,0
2,1297.3,1,1
2,1224.2,3,1
2,1188.2,1,1
2,1270.1,2,1
2,1182.2,0,1
2,1251.2,0,1
2,1257.2,3,1
2,1254.2,3,1
2,1249.2,0,1
2,1240.2,1,1
2,2004.2,3,1
2,1439.3,3,0
2,1587.2,2,1
2,1288.3,2,0
2,1306.2,0,1
2,1825.3,3,1
2,1305.1,1,1
2,1373.2,2,1
2,1644.2,2,0
2,1503.2,2,1
2,1308.2,2,1
2,2469,3,0
2,1243.2,1,1
2,1127.3,3,1
2,1141.2,3,0
2,1266.2,3,1
2,1149.2,1,1
2,1460.2,1,1
2,1273.2,2,1
2,1187.2,1,1
2,1422.3,1,1
2,1294.3,2,1
2,1221.2,1,1
2,1232.3,3,1
2,1185.3,0,1
2,1193.2,3,0
2,1156.2,2,1
2,1267.1,2,1
2,1174.3,0,1
2,1137.2,0,1
2,1395.3,2,1
2,1538.3,2,0
2,1318.3,1,1
2,1676.2,2,1
2,1263.2,1,1
2,1715.3,2,1
2,1435.3,2,0
2,1490.2,1,1
2,1584.3,1,0
2,1340.2,1,1
2,1239.3,3,1
2,1297.1,1,1
2,1400.2,2,1
2,1588.3,1,1
