stype,rt,diff,correct
2,999.1,2,1
2,794.29,3,0
2,728.15,1,1
2,712.15,1,0
2,873.19,3,1
2,1283.2,2,0
2,885.17,3,0
2,2102.2,2,1
2,815.26,3,1
2,948.25,0,1
2,835.16,2,1
2,815.15,1,0
2,923.24,1,1
2,1267.3,1,1
2,1806.2,1,0
2,1146.2,2,0
2,2009.3,1,1
2,2047.2,3,0
2,1145.2,1,1
2,1177.2,3,1
2,743.24,0,1
2,966.23,3,1
2,1117.2,3,1
2,1054.2,2,1
2,743.24,3,0
2,944.13,2,1
2,871.16,1,1
2,729.17,0,1
2,833.23,2,1
2,765.15,3,0
2,1059.4,1,1
2,1062.1,3,1
2,953.25,1,1
2,832.18,0,1
2,1091.1,3,1
2,1316.1,1,1
2,925.25,0,1
2,1069.2,1,1
2,736.14,3,1
2,768.24,1,0
2,766.18,3,0
2,981.11,1,1
2,763.19,1,0
2,1017.2,1,0
2,933.22,3,0
2,790.14,2,0
2,891.15,3,0
2,1165.1,3,1
2,1963.3,3,0
2,4114.3,3,0
2,1019.1,2,0
2,1119.1,2,1
2,967.24,2,1
2,1542.2,1,1
2,1190.2,2,0
2,1148.2,1,1
2,986.11,3,0
2,3753.3,3,1
2,3256.2,1,0
2,651.14,0,1
2,2226,2,1
2,1069.2,1,0
2,1072.1,1,0
2,2035.2,2,1
2,1022.2,3,1
2,994.23,3,1
2,823.16,1,1
2,779.15,1,1
2,882.25,1,0
2,908.16,1,1
2,868.16,1,1
2,1038.2,3,1
2,818.23,0,1
2,806.24,3,1
2,1171.2,2,1
2,848.08,3,0
2,940.19,2,1
2,811.24,1,0
2,1192.2,1,1
2,781.16,0,1
2,827.18,3,0
2,919.1,2,1
2,1640.2,3,1
2,955.16,1,1
2,1529.2,1,1
2,1481.3,1,1
2,1243.1,1,1
2,1455.2,1,1
2,1082.2,3,1
2,1067.2,1,1
2,941.13,2,1
2,1013.2,3,1
2,793.22,3,1
2,751.25,3,1
2,901.23,3,1
2,966.3,1,1
2,788.17,3,1
2,930.24,1,0
2,955.14,3,0
2,1025.1,3,1
2,933.22,1,1
2,1661.2,2,1
2,1008.1,2,1
2,1317.2,3,1
2,1164.2,3,0
2,1164.3,1,1
2,2130.3,2,1
2,874.17,0,0
2,988.23,3,0
2,1610.3,3,0
2,1391.2,3,1
2,2956.2,2,1
2,1459.2,1,1
2,3174.3,2,1
2,2283.2,2,0
2,1037.2,3,1
2,1121.3,3,0
2,906.11,2,1
2,1106.1,1,1
2,2194.2,3,0
2,2239.4,2,0
2,818.26,0,1
2,1158.2,2,0
2,678.16,0,1
2,936.19,2,0
2,855.25,0,0
2,1426.1,1,1
2,1023.1,3,1
2,938.2,1,1
2,1202.2,1,0
2,1287.3,2,1
2,1473.1,2,1
2,1067.2,3,0
2,1237.3,2,1
2,2537.2,2,0
2,3232.2,1,1
2,916.22,0,1
2,1589.3,1,1
2,1338.2,2,1
2,1130.1,2,1
2,1057.2,1,1
2,1020.2,1,0
2,1081.1,2,1
2,1251.2,2,0
2,3374.3,2,1
2,2380.3,3,0
2,1474.2,3,0
2,980.13,1,0
2,2059.2,1,1
2,941.24,0,1
2,989.13,1,1
2,1137.1,3,1
2,1217.2,3,1
2,1310.3,1,0
2,910.2,0,1
2,998.15,3,1
2,1124.2,3,1
2,4868.3,2,1
2,2718.2,3,1
2,2054.2,3,1
2,3097.3,2,0
2,1059.1,3,1
2,1381.2,2,1
2,3179.2,1,0
2,818.2,0,0
2,1359.2,2,0
2,876.15,2,1
2,1015.2,2,1
2,2035.2,2,0
2,5711.4,2,1
2,1064.1,3,1
2,1242.2,2,1
2,1334.3,3,0
2,1053.3,1,1
2,1056.2,3,1
2,1211.2,1,0
2,5487.4,3,0
2,1050.1,2,0
2,829.17,0,1
2,712.12,0,1
2,2112.6,3,1
2,1194.2,3,0
2,910.22,1,1
2,935.14,1,0
2,872.13,1,1
2,1514.1,3,0
2,978.14,2,0
2,1104.2,1,1
2,1834.2,2,0
2,1373.2,3,0
2,1196.2,1,0
2,3858.2,3,1
2,1204.2,3,0
2,3513.2,1,1
2,1218.2,2,1
2,1391.2,1,1
2,899.24,1,0
2,1013.3,1,0
2,1178.1,3,0
2,1464.2,2,1
2,1458.2,2,1
2,1269.2,1,1
2,1080.1,2,0
2,1025.2,1,0
2,1238.2,1,1
2,834.15,1,0
2,828.14,3,1
2,961.16,3,0
2,1440.3,2,1
2,1140.2,3,0
2,507.09,1,1
2,1059.2,2,1
2,718.25,0,1
2,863.26,1,1
2,1354.2,3,0
2,536.15,3,1
2,848.24,1,0
2,820.19,1,1
2,840.16,2,0
2,1147.2,2,1
2,914.24,3,0
2,3651.4,2,1
2,902.27,3,1
2,727.19,0,1
2,927.24,1,0
2,1016.1,3,0
2,1003.2,3,0
2,2513.2,2,0
2,3394.4,2,1
2,975.19,1,0
2,1485.2,1,1
2,1807.3,1,0
2,1019.2,2,0
2,1273.2,1,1
2,3603.2,2,0
2,1312.2,1,0
2,865.16,0,0
2,1412.3,1,1
2,888.18,0,1
2,993.18,1,1
2,1451.5,1,1
2,894.26,2,1
2,768.14,1,0
2,949.17,3,1
2,1029.3,1,0
2,1633.1,2,1
2,1005.2,3,1
2,793.14,2,0
2,1000.2,3,1
2,1132.2,3,1
2,1189.2,3,1
2,827.16,2,1
2,910.28,0,1
2,862.23,3,1
2,953.17,1,0
2,2721.2,2,0
2,769.21,3,0
2,855.23,3,1
2,1018.1,2,1
2,814.13,2,1
2,1010.3,3,0
2,1191.3,1,0
2,1245.2,2,1
2,1255.2,3,1
2,1242.3,1,1
2,3230.3,2,0
2,1315.1,3,0
2,803.14,3,1
2,824.29,0,1
2,1276.3,2,1
2,4062.3,2,1
2,4601.3,1,0
2,1071.2,3,0
2,1281.2,3,1
2,1090.2,1,1
2,1140.2,2,0
