stype,rt,diff,correct
2,1101,0,1
2,904.99,3,1
2,1204.2,3,1
2,994.19,2,1
2,887.17,2,0
2,944.24,2,1
2,903.24,3,1
2,1513.2,1,1
2,1665.2,2,1
2,868.21,2,1
2,1006.2,3,1
2,987.15,2,1
2,1616.2,1,1
2,797.23,1,1
2,898.24,1,1
2,908.18,2,1
2,1379.3,2,1
2,778.21,2,0
2,1872.3,2,0
2,874.15,1,0
2,837.16,3,1
2,1256.3,1,1
2,899.26,0,1
2,1461.2,2,1
2,1014.2,2,1
2,1195.2,3,0
2,977.24,2,1
2,872.15,3,1
2,1344.2,2,1
2,1432.2,3,0
2,1572.3,2,0
2,1498.2,3,1
2,1243.2,3,0
2,1168.1,0,0
2,1462.2,3,1
2,1320.2,1,1
2,1785.2,1,1
2,823.22,1,0
2,1044.3,0,1
2,2222.2,1,0
2,1322.2,3,0
2,795.23,1,1
2,1568.3,1,1
2,886.13,1,0
2,953.11,1,1
2,856.24,0,1
2,1195.3,2,0
2,912.24,1,0
2,1048.2,2,0
2,1372.3,1,1
2,833.22,1,1
2,1093.2,1,1
2,1143.2,2,1
2,830.22,2,1
2,1482.2,2,1
2,1099.1,3,1
2,1364.1,3,1
2,915.16,2,1
2,940.22,2,1
2,1027.1,2,0
2,1280.3,0,1
2,1378.2,3,1
2,928.22,1,0
2,856.24,1,0
2,731.15,3,1
2,792.14,1,1
2,1112.2,1,1
2,929.23,2,0
2,1056.2,2,1
2,1051.2,3,0
2,1063.3,3,1
2,889.22,2,1
2,794.25,1,0
2,1104.2,1,1
2,945.26,1,1
2,864.18,3,0
2,834.23,2,0
2,951.23,3,0
2,878.17,1,0
2,1415.2,2,0
2,1037.2,2,1
2,2328.3,3,1
2,1552.3,3,1
2,822.15,1,1
2,1083.2,2,1
2,2261.2,3,0
2,952.23,1,1
2,766.16,0,1
2,1493.2,1,1
2,966.22,3,1
2,1533.3,3,0
2,1052.2,2,0
2,944.16,1,0
2,1368.2,1,1
2,798.26,0,1
2,1402.1,1,1
2,951.17,2,0
2,1079.2,2,1
2,1113.3,1,0
2,1145.2,1,1
2,1457.2,3,1
2,1500.1,3,1
2,1301.2,3,1
2,1244.2,3,1
2,816.22,0,1
2,1381.3,2,1
2,1371.2,1,0
2,1401.2,3,0
2,1030.2,1,0
2,1802.3,1,1
2,1175.3,2,1
2,1348.2,3,1
2,1524.2,2,0
2,2149.3,1,1
2,1492.3,1,0
2,1156.2,3,1
2,1211.3,3,1
2,1448.2,1,0
2,964.25,1,1
2,2041.2,2,1
2,1303.8,1,1
2,1689.2,2,1
2,1043.3,3,1
2,822.17,0,1
2,747.17,0,1
2,1914.3,2,0
2,1114.2,2,1
2,1018.2,2,1
2,1151.2,3,1
2,934.25,1,1
2,1078.3,2,0
2,1224.2,2,1
2,1404.2,2,1
2,905.24,3,0
2,946.24,2,1
2,1017.2,1,1
2,1069.2,0,1
2,1096.2,1,0
2,1241.3,3,0
2,1597.2,1,1
2,2578.2,2,1
2,1184.2,2,1
2,1038.3,2,0
2,2097.2,2,1
2,1314.2,0,1
2,1027.2,3,1
2,1223.2,3,0
2,2627.2,2,1
2,1055.2,0,1
2,1410.2,2,1
2,1423.3,2,1
2,802.18,0,1
2,1256.2,1,0
2,1363.3,3,0
2,1481.3,3,1
2,835.15,3,1
2,1006.1,2,1
2,931.24,3,1
2,851.3,0,1
2,950.18,1,1
2,901.27,3,0
2,958.24,2,1
2,829.23,1,0
2,1081.1,2,1
2,1210.3,2,0
2,2815.3,2,1
2,1027.4,3,0
2,768.14,2,0
2,1854.2,1,1
2,1218.2,2,0
2,1174.3,3,0
2,1052.2,0,1
2,1008.2,3,0
2,2477.3,1,0
2,1614.3,3,0
2,2067.2,2,1
2,854.14,3,1
2,2208.2,1,1
2,1573.3,1,1
2,891.12,2,1
2,1333.1,3,1
2,1453.4,2,0
2,1041.2,3,1
2,885.15,1,0
2,837.23,0,1
2,1001.3,1,1
2,1094.2,2,0
2,1639.2,3,1
2,802.16,1,0
2,1984.3,1,1
2,822.21,2,0
2,810.17,0,1
2,966.15,1,1
2,1581.3,2,0
2,931.24,2,1
2,1202.2,1,1
2,975.24,1,1
2,1046.3,2,1
2,1705.3,3,0
2,1729.2,3,1
2,937.13,2,1
2,1201.3,3,1
2,1006.3,3,1
2,1011.2,3,0
2,2343.3,1,1
2,927.25,2,1
2,974.23,3,1
2,829.14,1,1
2,921.16,2,1
2,888.24,2,0
2,834.22,3,1
2,2278.2,1,0
2,1000.2,3,0
2,877.26,0,1
2,1087.2,2,1
2,1577.2,2,1
2,1247.2,1,1
2,850.25,1,1
2,1588.3,2,1
2,754.14,2,0
2,953.18,3,1
2,2217.3,3,1
2,820.24,0,1
2,913.24,3,1
2,825.15,1,0
2,838.15,2,1
2,705.23,1,0
2,954.17,1,0
2,817.21,0,1
2,1526.3,1,1
2,949.27,0,1
2,1356.1,3,1
2,755.15,2,0
2,1146.2,1,1
2,833.24,2,0
2,869.18,1,0
2,896.16,3,1
2,1745.3,1,0
2,1808.3,3,0
2,1533.2,1,1
2,1616,2,1
2,765.25,0,0
2,1660.3,3,1
2,838.13,3,0
2,1506.2,2,1
2,1202.3,3,1
2,1032.3,0,1
2,859.15,1,1
2,950.18,3,0
2,1157.2,3,1
2,956.22,3,0
2,954.16,3,0
2,986.16,3,1
2,1471.2,3,1
2,762.25,0,0
2,1768.1,1,1
2,807.16,1,1
2,1804.3,3,0
2,1617.3,1,0
2,1181.2,3,0
2,2484.2,2,1
2,1622.3,1,1
2,873.22,2,0
2,1276.2,2,1
2,1358.3,3,0
2,1172.3,3,1
2,2114.3,2,1
2,987.17,3,0
2,1369.2,3,0
2,1583.3,1,0
2,2821.3,2,0
2,1209.2,3,0
2,1807.2,2,0
2,1428.3,3,1
2,2079.3,1,0
2,1753.2,0,1
2,3257.3,1,0
2,899.29,2,0
2,1773.3,1,1
2,851.28,0,1
2,2183.2,2,1
2,1363.3,3,1
2,1074.3,3,1
2,980.17,0,1
2,890.17,0,1
2,892.23,2,1
2,893.24,2,1
2,1318.2,2,0
2,767.17,3,1
2,734.26,0,1
2,885.24,1,1
2,855.15,2,0
2,1162.2,3,0
2,1297.2,2,1
2,2234.3,3,1
2,1613.3,3,1
2,865.14,3,1
2,772.16,1,1
2,986.26,1,0
2,1056.2,1,1
2,2571.4,3,1
2,1050.3,3,0
2,1061.3,1,1
2,840.2,3,1
2,747.13,1,1
2,682.29,0,1
2,756.25,3,0
2,803.16,1,1
2,1199.2,3,1
2,861.24,1,0
2,848.24,1,1
2,1690.2,3,0
2,1124.2,2,0
2,2149.3,2,0
2,907.28,0,1
2,924.19,2,0
2,1061.2,1,1
2,1479.3,3,1
2,1249.3,3,1
2,972.18,3,1
2,1066.3,1,1
2,997.25,0,1
2,946.32,3,0
2,921.28,2,0
2,969.17,2,1
2,808.2,2,1
2,1013.3,1,1
2,1112.2,1,1
2,761.19,1,1
2,1296.3,1,0
2,937.26,2,1
2,1936.2,2,1
2,992.26,1,0
2,1294.3,1,1
2,855.23,2,1
2,1146.2,2,1
2,889.27,1,1
2,1626.3,1,0
2,911.24,3,1
2,1736.2,2,0
2,839.19,0,1
2,890.24,2,1
2,860.26,1,1
2,1207.2,1,1
2,764.21,0,1
2,2233.3,2,1
2,1037.3,1,0
2,1369.2,2,1
2,840.19,0,1
2,1258.3,2,1
2,957.26,3,1
2,1356.2,1,1
2,875.16,0,1
2,1549.2,3,1
2,924.25,3,0
2,1124.2,3,1
2,1420.2,2,0
2,1065.3,0,0
2,875.23,2,1
2,1261.2,1,1
2,1302.2,1,1
2,896.26,2,1
2,952.28,3,1
2,935.29,2,0
2,991.21,1,0
2,1037.3,3,1
2,856.26,1,1
2,779.17,3,1
2,801.16,1,1
2,806.24,1,1
2,1907.3,1,0
2,923.17,1,0
2,916.17,3,1
2,1004.2,3,1
2,1105.2,2,1
2,1489.2,2,0
2,851.19,2,1
2,1478.3,2,1
2,1193.2,1,0
2,1213.2,2,1
2,914.19,2,0
2,1291.2,2,1
2,1221.3,2,1
2,1768.2,1,1
2,1039.2,0,1
2,1138.2,3,1
2,890.28,0,1
2,1083.2,3,0
2,941.18,1,1
2,980.25,1,1
2,850.28,2,1
2,981.17,3,1
2,1475.2,2,0
2,781.25,2,0
2,875.28,3,1
2,717.18,0,1
2,1013.2,1,1
2,737.24,3,1
2,1472.3,1,0
2,923.17,1,1
2,915.17,2,1
2,1092.3,3,0
2,749.26,3,0
2,1748.2,3,1
2,1140.2,2,1
2,2274.3,3,0
2,2653.4,3,0
2,1312.2,2,1
2,1425.3,2,1
2,1149.3,3,0
2,884.26,0,1
2,846.17,3,1
2,1592.3,2,0
2,1543.2,2,0
2,1750.3,1,1
2,933.19,3,0
2,1189.2,1,1
2,1234.3,1,0
2,1182.3,3,1
2,1627.2,2,0
2,1770.6,3,0
2,1041.3,3,1
2,868.15,3,1
2,758.15,1,1
2,781.17,2,1
2,795.27,3,1
2,777.23,1,1
2,1039.2,1,1
2,1089.2,3,1
2,1339.2,3,1
2,875.25,1,1
2,853.19,3,0
2,993.19,1,0
2,958.27,2,1
2,836.25,3,0
2,1001.2,3,1
2,1014.2,1,1
2,818.28,0,1
2,974.25,3,1
2,1396.2,1,1
2,1162.2,1,0
2,881.26,3,0
2,938.23,3,1
2,1122.2,1,1
2,1538.2,3,1
2,1738.3,2,1
2,897.28,0,1
2,1394.2,2,1
2,1040.2,2,0
2,1412.3,1,1
2,1312.3,2,0
2,897.2,1,1
2,1986.2,2,0
2,904.28,0,0
2,1240.2,1,1
2,1148.2,1,1
2,1236.2,2,1
2,1055.3,0,1
2,1049.3,2,0
2,949.17,2,1
2,1172.2,1,1
2,2291.2,1,1
2,2155.3,2,1
2,914.19,1,1
2,1187.2,2,1
2,1585.3,1,0
2,1310.3,3,0
2,1648.2,3,0
2,1580.2,3,0
2,1193.3,1,1
2,838.26,3,1
2,1722.3,1,1
2,1002.1,1,0
2,1351.3,3,0
2,2062.3,1,1
2,1617.2,3,1
2,878.21,0,1
2,759.27,0,1
2,965.26,2,1
2,1164.2,2,0
