stype,rt,diff,correct
2,1457,1,1
2,1113.2,3,1
2,1187.2,2,1
2,1529.2,2,1
2,1312.3,2,1
2,1137.1,1,1
2,1312.2,1,1
2,1401.2,2,1
2,1045.2,3,1
2,1217.1,2,1
2,957.21,2,1
2,964.23,1,1
2,1275.2,3,0
2,1109.2,1,1
2,1341.2,1,1
2,1029.2,3,0
2,1553.2,2,0
2,1824.1,2,1
2,1476.1,1,1
2,1215.2,1,1
2,811.22,2,1
2,1280.2,1,1
2,1329.2,2,1
2,1090.2,1,1
2,1355.2,2,0
2,1083.1,3,1
2,1044.2,1,1
2,879.2,3,1
2,1129.2,1,1
2,945.14,2,1
2,952.19,2,1
2,1072.2,3,0
2,1137.2,3,1
2,953.13,1,1
2,856.12,2,1
2,1003.2,3,1
2,720.23,0,1
2,975.13,1,1
2,797.21,3,1
2,987.21,1,1
2,720.22,1,0
2,880.15,0,1
2,802.22,1,0
2,848.22,2,0
2,1003.2,2,1
2,752.17,0,1
2,1118.2,3,1
2,943.22,1,1
2,926.22,3,1
2,870.14,2,1
2,793.12,2,0
2,766.24,3,1
2,948.2,1,1
2,939.13,1,0
2,883.12,1,0
2,805.2,3,1
2,689.21,2,1
2,795.14,3,1
2,1024.1,2,0
2,1260.2,3,1
2,2506.7,2,0
2,1491.2,3,1
2,717.16,0,1
2,1038.2,1,1
2,753.12,3,1
2,960.18,1,1
2,855.14,2,1
2,777.21,1,1
2,679.24,0,1
2,705.11,3,1
2,690.12,2,0
2,732.23,2,1
2,651.19,3,1
2,630.14,2,1
2,866.13,2,0
2,781.15,3,1
2,683.23,3,1
2,596.19,0,1
2,818.16,1,0
2,822.19,1,1
2,810.22,3,1
2,671.15,1,1
2,753.13,1,1
2,663.24,2,1
2,666.18,2,1
2,605.13,1,1
2,930.12,1,0
2,682.2,3,1
2,691.22,1,1
2,588.14,1,1
2,866.13,1,1
2,685.23,3,1
2,758.17,2,1
2,732.15,3,1
2,732.2,1,1
2,771.09,3,1
2,650.2,1,0
2,1405.2,3,1
2,882.07,3,1
2,803.2,1,1
2,728.19,1,1
2,745.14,3,0
2,1057.1,3,1
2,731.21,3,1
2,714.2,2,0
2,868.17,3,1
2,686.18,1,0
2,718.2,1,0
2,919.23,3,1
2,680.29,2,1
2,954.24,3,1
2,665.19,3,1
2,723.25,0,1
2,731.12,3,1
2,739.15,3,0
2,771.19,2,1
2,857.23,2,1
2,908.13,1,1
2,740.24,1,1
2,963.1,3,1
2,1323.4,2,1
2,1236.1,1,1
2,1031.1,1,1
2,803.22,1,1
2,760.15,3,0
2,862.14,2,1
2,905.11,2,1
2,722.21,1,0
2,859.23,2,1
2,988.14,2,1
2,634.22,0,1
2,782.22,1,1
2,740.21,1,1
2,1011.1,2,1
2,792.14,3,0
2,1125.2,1,0
2,1206.3,3,0
2,1459.2,2,1
2,909.12,2,0
2,1022.2,2,0
2,739.25,0,1
2,898.15,1,1
2,867.13,3,1
2,781.23,3,1
2,891.22,3,1
2,805.14,2,0
2,754.14,2,1
2,760.21,2,1
2,663.21,0,1
2,1058.1,1,1
2,732.16,2,0
2,877.19,1,0
2,1015.2,2,1
2,1755.2,3,0
2,747.14,0,1
2,665.1,3,1
2,1083.2,2,1
2,813.14,1,1
2,674.14,2,1
2,740.21,1,1
2,772.21,2,0
2,1537.1,1,0
2,1625.2,3,0
2,1469.2,1,1
2,888.22,2,1
2,1026.2,3,1
2,1101.1,1,1
2,647.21,3,1
2,970.21,3,1
2,777.14,2,1
2,1357.3,3,1
2,740.23,3,1
2,1228.2,2,1
2,768.13,1,1
2,798.18,2,1
2,835.13,3,1
2,1142.2,2,1
2,1102.1,2,0
2,1303.2,2,0
2,896.23,3,1
2,1704.2,1,1
2,929.21,0,1
2,1009.2,3,1
2,1206.2,1,1
2,730.21,2,1
2,738.14,2,1
2,1106.1,3,0
2,1195.2,3,1
2,903.24,3,0
2,993.17,1,0
2,1071.2,2,1
2,841.27,0,1
2,803.23,0,1
2,1033.3,2,0
2,940.16,1,1
2,1044.2,2,1
2,1535.3,2,0
2,695.16,0,1
2,1040.2,1,0
2,1140.3,1,1
2,1803.3,2,0
2,1777.2,3,0
2,783.12,1,1
2,1485.2,1,1
2,782.23,0,1
2,1132.2,2,0
2,2276.2,2,1
2,1310.3,3,1
2,1446.2,3,1
2,1770.2,2,0
2,1584.3,3,1
2,1382.1,3,1
2,723.17,0,1
2,2468.2,3,1
2,1302.2,1,1
2,1320.3,3,1
2,1088.2,2,1
2,961.15,3,1
2,1440.3,2,0
2,788.21,3,1
2,1497.2,2,0
2,1202.2,3,1
2,951.19,2,1
2,3366.3,2,1
2,1773.3,3,1
2,1354.2,2,1
2,1433.2,1,1
2,1829.3,2,0
2,2306.3,3,1
2,1842.2,1,1
2,1342.2,1,1
2,1437.3,2,1
2,2129.3,3,0
2,2121.2,1,0
2,857.12,2,1
2,1276.2,3,0
2,2062.2,2,0
2,1873.2,1,1
2,1739.2,2,1
2,1083.2,3,1
2,1942.2,3,1
2,2420.2,2,0
2,1977.3,2,1
2,2463.3,1,1
2,1666.2,2,1
2,1156.2,3,1
2,2203.2,1,1
2,3520.4,2,0
2,1545.2,2,1
2,2423.2,3,1
2,828.14,0,1
2,736.25,0,1
2,2368.3,2,0
2,941.09,1,1
2,1173.2,2,1
2,2955.2,1,0
2,1514.3,3,1
2,2042.2,1,1
2,1022.1,1,1
2,730.22,1,1
2,2650.3,3,1
