stype,rt,diff,correct
2,1261.9,2,1
2,806.3,3,1
2,852.23,2,1
2,759.24,3,1
2,910.18,3,1
2,870.26,2,1
2,1008.2,3,1
2,861.24,3,0
2,1096.2,2,1
2,1040.2,3,0
2,892.53,3,1
2,1150.2,1,0
2,749.22,0,1
2,1243.2,3,1
2,1030.2,3,1
2,850.24,2,1
2,958.16,3,1
2,997.25,3,1
2,889.22,3,1
2,882.26,2,1
2,764.18,0,1
2,867.24,3,1
2,877.19,1,1
2,1000.2,1,1
2,884.22,3,1
2,886.13,2,0
2,1039.2,2,1
2,1163.2,3,1
2,1034.2,1,1
2,980.25,2,1
2,874.22,1,1
2,1085.2,3,1
2,1007.2,3,1
2,859.16,1,0
2,1054.2,2,1
2,777.25,3,1
2,863.17,2,1
2,930.25,3,1
2,978.2,3,1
2,1048.3,1,1
2,970.19,2,0
2,841.14,2,1
2,909.22,3,0
2,966.3,1,1
2,1940.2,3,1
2,1019.3,2,0
2,1000.2,1,1
2,1093.3,3,1
2,918.17,2,1
2,926.25,2,1
2,1094.1,2,0
2,1048.2,1,0
2,1091.3,2,0
2,1252.2,2,1
2,1375.2,2,1
2,2030.3,2,1
2,1097.2,1,0
2,1770.2,2,0
2,1481.3,1,1
2,2338.3,2,1
2,982.96,2,0
2,1284.2,0,1
2,1070.2,2,1
2,1233.3,3,1
2,973.2,3,1
2,914.22,2,0
2,811.25,1,1
2,863.19,1,1
2,705.17,1,1
2,1043.1,3,1
2,869.27,0,1
2,1056.2,3,1
2,882.19,2,1
2,964.12,3,1
2,1091.3,2,1
2,925.24,2,1
2,828.18,3,1
2,744.23,1,0
2,1095.2,3,1
2,840.23,2,1
2,772.16,2,0
2,722.26,0,1
2,913.25,1,1
2,810.29,0,1
2,710.15,1,1
2,966.25,3,1
2,1077.3,1,1
2,807.22,2,1
2,788.15,1,1
2,1041.2,3,1
2,749.26,0,1
2,1092.2,1,1
2,748.18,0,1
2,764.25,3,0
2,1162.2,2,0
2,985.25,1,1
2,998.17,0,1
2,1339.2,3,1
2,811.21,3,1
2,880.23,2,1
2,969.16,1,1
2,1079.3,2,0
2,1937.3,2,1
2,841.25,0,1
2,1084.3,3,1
2,871.23,2,1
2,791.24,1,0
2,901.23,1,1
2,1878.2,2,1
2,1265.3,2,1
2,898.15,1,1
2,1067.2,3,0
2,902.17,3,0
2,840.18,3,0
2,803.24,2,1
2,1968.3,1,1
2,719.16,0,1
2,983.16,3,1
2,1333.2,3,1
2,980.22,3,1
2,1126.3,2,0
2,1111.3,2,1
2,1008.2,3,1
2,1053.1,1,1
2,904.17,1,1
2,776.24,2,1
2,926.26,1,0
2,983.24,2,1
2,973.17,2,1
2,1123.2,3,1
2,866.23,0,1
2,964.17,2,1
2,803.16,2,1
2,840.17,2,0
2,1148.3,1,0
2,1698.2,0,0
2,924.18,0,1
2,717.28,0,1
2,900.2,2,1
2,2805.2,3,0
2,835.17,2,0
2,967.14,3,1
2,957.22,1,1
2,1195.2,3,1
2,937.18,2,1
2,2024.3,3,1
2,3141.4,2,1
2,1212.2,1,1
2,1121.2,3,1
2,785.14,3,1
2,887.25,2,1
2,937.23,2,0
2,840.17,2,1
2,1252.2,3,1
2,2167.3,2,0
2,958.23,2,0
2,908.26,2,1
2,941.18,2,1
2,932.26,3,1
2,508.22,1,0
2,965.15,1,1
2,3187.3,1,1
2,1209.3,1,1
2,1206.2,3,0
2,1138.2,3,0
2,938.18,3,1
2,834.27,0,1
2,981.25,2,1
2,1034.2,3,1
2,846.24,1,1
2,897.25,2,1
2,1186.3,1,1
2,944.18,0,1
2,831.19,0,1
2,922.26,1,1
2,1146.2,1,1
2,1106.2,3,0
2,1195.2,2,1
2,2359.3,3,0
2,2359.3,1,0
2,1359.5,2,0
2,1031.2,2,0
2,730.25,0,1
2,1042.3,3,1
2,925.15,2,0
2,950.18,1,1
2,900.25,2,0
2,1062.2,3,1
2,848.15,3,1
2,1092.2,1,1
2,989.31,1,1
2,946.25,3,1
2,897.21,3,1
2,2898.3,3,0
2,3395.3,1,1
2,2961.3,1,1
2,1983.2,2,1
2,1429.2,2,1
2,1729.3,1,1
2,913.28,0,1
2,2937.3,2,1
2,1345.2,3,1
2,1016.2,1,1
2,861.17,3,1
2,3039.3,2,1
2,1330.2,3,1
2,1434.3,2,0
2,934.31,2,1
2,2325.2,1,0
2,1422.2,1,1
2,3498.3,3,1
2,3243.4,3,1
2,1190.2,1,1
2,1940.2,3,0
2,1019.3,2,0
2,976.27,3,0
2,910.19,2,1
2,911.17,3,1
2,872.24,2,0
2,1090.3,2,1
2,1091.2,3,0
2,1620.3,3,0
2,1680.3,2,1
2,1267.2,2,1
2,1053.2,2,1
2,880.16,1,0
2,1089.3,3,1
2,1203.3,2,1
2,1264.2,2,1
2,4337.4,2,1
2,2777.3,3,0
2,872.26,1,1
2,1402.2,1,1
2,2166.3,2,1
2,1309.3,1,0
2,1143.2,1,1
2,838.17,0,1
2,1073.2,3,1
2,906.26,0,1
2,1411.2,2,1
2,1511.6,1,1
2,840.17,3,1
2,795.27,0,1
2,1216.3,3,1
2,852.21,1,1
2,1000.2,3,1
2,933.27,2,1
2,908.26,2,1
2,988.18,1,1
2,1002.3,2,1
2,951.24,2,1
2,854.24,2,1
2,841.19,2,1
2,900.16,3,1
2,1188.3,2,1
2,962.26,1,1
2,937.21,1,1
2,833.16,3,1
2,1060.2,1,1
2,855.32,2,1
2,745.17,1,1
2,817.25,3,1
2,829.26,3,1
2,992.26,3,1
2,790.23,1,1
2,788.14,3,1
2,720.22,0,1
2,881.28,1,1
2,851.19,1,1
2,926.19,2,1
2,958.19,1,0
2,875.26,2,1
2,1005.2,3,0
2,1155.2,3,0
2,938.23,3,1
2,1888.3,2,1
2,1026.4,2,1
2,942.24,3,1
2,958.26,1,1
2,724.18,3,0
2,1020.2,2,1
2,1128.2,1,1
2,1016.1,3,0
2,1053.2,3,1
2,935.18,3,1
2,871.25,1,1
2,1162.3,2,0
2,792.22,3,0
2,830.2,0,1
2,1009.2,3,0
2,846.24,3,1
2,1106.2,2,0
2,786.17,3,0
2,1393.2,1,0
2,2830.3,2,1
2,1513.3,3,0
2,2562.2,1,0
2,1297.2,1,0
2,1130.2,1,0
2,859.25,0,1
2,1640.3,3,0
2,1035.2,1,1
2,911.26,2,1
2,760.22,1,1
2,991.22,2,1
2,972.2,1,1
2,865.24,3,1
2,852.25,3,1
2,831.2,3,1
2,1011.2,1,1
2,960.26,3,1
2,967.26,3,0
2,1029.2,1,0
2,897.24,3,1
2,850.26,2,0
2,765.28,0,1
2,787.17,2,0
2,769.18,1,0
2,871.28,0,0
2,1074.3,2,1
2,908.15,2,1
2,893.25,3,1
2,1054.2,2,1
2,689.27,0,0
2,706.19,0,1
2,1091.2,1,1
2,852.25,1,1
2,800.17,1,1
2,1052.2,2,1
2,903.26,1,1
2,1192.3,3,0
2,646.29,0,1
2,761.2,0,1
2,895.23,1,1
