stype,rt,diff,correct
2,782.55,3,1
2,578.21,1,0
2,593.17,2,0
2,607.14,2,0
2,803.24,2,0
2,1017.2,2,1
2,837.17,3,1
2,1560.3,3,1
2,1223.2,1,0
2,1140.2,3,1
2,803.18,3,1
2,1520.3,1,1
2,1192.3,2,1
2,885.15,2,1
2,1191.2,2,1
2,852.23,2,1
2,968.25,3,1
2,941.17,1,1
2,1364.1,1,0
2,724.25,3,1
2,740.27,0,1
2,1163.2,3,0
2,1025.2,1,0
2,726.29,0,1
2,918.25,0,1
2,1063.2,3,1
2,1864.2,2,0
2,771.23,1,1
2,954.27,2,0
2,1296.2,2,1
2,857.19,1,1
2,1092.3,3,1
2,1198.3,1,1
2,827.2,1,0
2,791.15,3,1
2,972.24,3,1
2,834.25,2,1
2,1302.2,1,0
2,855.16,3,1
2,961.21,2,1
2,1120.3,3,1
2,1160.2,1,0
2,824.27,0,1
2,1180.2,1,1
2,633.23,3,1
2,861.18,1,0
2,1064.1,1,0
2,858.16,1,1
2,1389.3,3,1
2,1362.2,3,1
2,737.15,0,1
2,840.22,1,1
2,972.26,3,1
2,1361.2,1,1
2,1096.3,2,1
2,713.24,0,1
2,706.25,0,1
2,882.2,2,0
2,828.16,3,1
2,1632.3,1,1
2,950.53,0,1
2,846.17,1,1
2,768.24,2,1
2,694.23,0,0
2,744.23,2,1
2,975.16,2,0
2,638.17,0,0
2,961.27,2,1
2,1031.3,2,1
2,788.15,2,1
2,1033.1,1,1
2,796.23,3,1
2,729.23,3,1
2,801.15,3,1
2,959.17,3,1
2,701.26,0,1
2,687.27,2,1
2,752.14,1,0
2,775.16,1,1
2,797.26,0,1
2,731.25,3,1
2,971.18,1,0
2,776.15,1,0
2,695.24,2,0
2,752.21,2,1
2,1304.2,1,0
2,768.14,3,1
2,743.26,2,0
2,646.19,3,1
2,1066.2,0,1
2,939.19,3,1
2,811.18,1,1
2,1007.2,1,1
2,1052.2,1,1
2,615.15,0,1
2,915.25,3,1
2,892.2,2,1
2,973.24,2,0
2,868.11,1,1
2,1142.3,2,1
2,965.22,0,1
2,803.16,3,1
2,760.23,3,1
2,1047.2,2,1
2,722.24,3,0
2,763.18,2,1
2,680.18,0,1
2,875.34,2,1
2,749.16,2,1
2,652.13,0,1
2,871.1,2,1
2,784.19,3,1
2,1350.3,2,1
2,869.16,2,1
2,912.22,3,1
2,849.23,1,1
2,931.18,0,0
2,939.11,1,1
2,946.2,0,1
2,962.18,1,0
2,2890.8,1,1
2,1380.2,1,1
2,810.16,2,1
2,863.27,1,0
2,1217.3,1,0
2,1333.2,3,1
2,1397.2,2,1
2,915.19,3,1
