stype,rt,diff,correct
1,1592.4,2,1
1,2579.4,2,1
1,1170.3,1,1
1,1240.3,2,0
1,1700.3,1,0
1,1965.3,1,1
1,1635.2,1,0
1,1439.2,2,0
1,1476.3,3,1
1,964.19,3,1
1,947.23,1,1
1,1314.3,1,1
1,1107.3,3,1
1,948.28,0,1
1,1355.2,1,1
1,1048.2,2,1
1,1708.3,1,0
1,1293.2,2,1
1,3005.2,3,1
1,2402.3,1,1
1,2128.3,3,1
1,1320.3,2,1
1,1072.2,2,0
1,1002.2,3,1
1,1959.2,2,1
1,1998.3,1,0
1,1140.2,2,1
1,1066.3,0,1
1,1317.3,3,1
1,2509.4,1,1
1,1183.2,3,1
1,1267.3,1,0
1,2902.3,1,1
1,2399.3,1,0
1,1052.2,3,1
1,1079.2,1,1
1,1353.3,3,1
1,960.29,0,1
1,1239.2,3,0
1,1306.3,2,1
1,995.26,1,1
1,1856.3,3,1
1,1035.1,3,0
1,1935.3,1,1
1,1855.3,3,1
1,1745.3,1,1
1,1264.2,3,1
1,1170.2,2,0
1,1025.3,0,1
1,2253.3,1,1
1,1608.2,2,1
1,2006.3,2,1
1,4809.4,1,1
1,2502.3,1,0
1,1798.2,1,0
1,5300.4,1,0
1,2350.2,3,0
1,3477.4,3,1
1,2039.2,0,1
1,2650.4,1,1
1,2194.7,1,1
1,1264.3,2,1
1,1379.3,2,1
1,1265.2,1,1
1,1163.3,1,1
1,1337.3,3,0
1,2865.3,3,1
1,1164.2,3,0
1,1786.3,3,1
1,1352.3,3,1
1,2391.2,1,0
1,2173.2,1,0
1,1387.3,2,1
1,1145.3,3,1
1,2160.2,1,0
1,1287.3,2,1
1,2440.3,2,1
1,1372.3,3,1
1,1874.3,1,1
1,2228.3,2,1
1,1536.3,2,1
1,2304.3,2,1
1,1105.2,0,1
1,2074.2,2,1
1,1675.2,2,1
1,3558.4,1,1
1,1061.2,2,1
1,2399.2,1,1
1,1324.2,2,1
1,1764.3,2,1
1,2059.2,3,1
1,3062.3,1,0
1,1216.3,2,1
1,1445.3,3,1
1,2304.2,1,1
1,2625.2,1,1
1,3013.3,2,0
1,1138.2,2,0
1,2682.2,1,0
1,1604.2,1,1
1,2112.3,1,1
1,2113.4,3,0
1,1137.2,2,1
1,2193.2,2,1
1,3991.4,2,0
1,1700.3,1,1
1,1821.2,1,1
1,1649.2,3,1
1,1997.2,3,0
1,2290.3,1,1
1,1211.2,1,1
1,992.15,2,1
1,1165.3,1,1
1,1884.3,2,1
1,997.17,3,1
1,1210.2,3,1
1,1511.3,3,1
1,2088.3,2,0
1,1297.2,3,1
1,3586.3,1,1
1,2017.2,1,1
1,1621.3,3,1
1,1737.2,1,0
1,1393.2,2,0
1,1359.3,1,1
1,1373.3,2,1
1,1779.2,2,0
1,1922.3,2,0
1,1922.3,2,1
1,874.29,0,1
1,820.27,0,1
1,921.14,2,1
1,977.27,1,0
1,1375.3,3,1
1,725.14,2,1
1,1109.2,2,0
1,1007.2,3,1
1,1322.3,2,1
1,2811.3,1,1
1,2544.3,2,1
1,1320.3,3,1
1,3255.4,1,0
1,979.2,1,0
1,3161.3,1,1
1,2263.4,2,0
1,1194.3,1,1
1,1360.3,1,1
1,1310.3,3,1
1,1647.3,2,0
1,1682.3,2,1
1,1380.2,3,1
1,2233.3,1,1
1,2318.2,1,1
1,3838.4,2,1
1,1562.2,3,1
1,1088.2,3,1
1,898.29,0,1
1,1139.2,3,1
1,1419.2,1,0
1,1088.2,1,0
1,2121.3,2,1
1,1569.3,3,1
1,1840.2,3,1
1,1642.3,2,1
1,1046.3,3,1
1,2498.3,1,0
1,1107.2,3,1
1,1219.3,3,1
1,1912.3,2,1
1,1048.3,0,1
1,1012.2,2,0
1,1328.3,1,1
1,1296.3,3,1
1,1058.2,1,0
1,1093.2,2,1
1,1454.2,2,0
1,969.29,2,1
1,1535.3,3,1
1,2207.2,2,0
1,3467.4,3,1
1,1979.4,3,1
1,1250.3,2,1
1,973.2,0,1
1,1978.3,1,1
1,1616.3,2,1
1,1349.3,2,1
1,1059.2,3,1
1,831.18,0,1
1,1033.3,2,1
1,1141.3,3,0
