stype,rt,diff,correct
2,1064.2,0,1
2,909.94,1,1
2,1440.3,1,0
2,885.15,0,1
2,1054.2,1,1
2,928.22,1,1
2,904.19,3,1
2,914.14,3,1
2,914.24,1,1
2,843.22,3,0
2,1101.2,3,1
2,1030.1,2,1
2,978.22,3,1
2,825.23,2,0
2,931.18,3,1
2,1259.1,1,1
2,1175.2,2,1
2,1173.2,2,1
2,963.26,0,1
2,1065.2,2,1
2,891.28,2,1
2,1100.2,2,1
2,1029.3,1,1
2,1121.2,1,0
2,873.23,0,1
2,867.24,2,1
2,853.26,0,1
2,1024.1,2,1
2,1108.2,2,1
2,1005.3,1,1
2,905.26,3,1
2,882.16,3,1
2,1028.3,2,1
2,1000.2,2,1
2,1213.2,1,1
2,1457.2,1,1
2,1235.2,2,1
2,1007.2,3,1
2,1092.2,1,1
2,941.12,3,1
2,1005.1,2,1
2,1225.2,1,0
2,869.2,3,1
2,1104.2,1,1
2,857.23,2,1
2,755.26,0,1
2,1193.2,3,1
2,1439.2,3,1
2,1114.2,3,1
2,947.19,3,1
2,1001.3,2,1
2,1062.2,3,0
2,1617.3,1,1
2,1110.2,1,1
2,782.24,0,1
2,852.11,3,1
2,735.21,3,1
2,1446.2,1,0
2,738.2,2,1
2,673.15,2,0
2,955.97,0,1
2,1219.2,2,1
2,831.21,3,1
2,979.14,2,0
2,1024.2,2,1
2,973.24,2,1
2,1147.2,2,1
2,1082.1,3,1
2,940.17,3,1
2,1322.2,3,1
2,1034.2,3,1
2,1095.1,1,1
2,1184.2,1,1
2,1222.3,1,0
2,1705.3,3,1
2,922.16,2,1
2,939.21,2,1
2,858.23,3,0
2,1084.2,3,1
2,926.14,3,1
2,926.23,3,1
2,919.21,1,1
2,903.22,1,1
2,760.14,0,1
2,774.16,2,1
2,708.22,0,1
2,804.2,2,1
2,1218.2,3,1
2,1638.2,2,1
2,1065.2,1,1
2,1123.3,2,1
2,1091.2,2,0
2,997.24,1,0
2,1002.2,3,1
2,814.23,2,1
2,1019.2,1,1
2,984.23,1,1
2,1406.3,2,1
2,977.25,3,1
2,1328.2,1,1
2,1248.2,1,0
2,1548.2,3,0
2,1218.2,3,1
2,1175.2,3,1
2,1061.2,0,1
2,1968.2,1,1
2,894.23,3,1
2,863.18,2,1
2,1265.2,1,0
2,1053.2,1,1
2,831.21,2,0
2,1899.2,1,1
2,1476.2,3,1
2,1102.2,3,1
2,2967.3,2,1
2,1965.2,3,1
2,1195.2,3,1
2,4457.4,1,1
2,948.21,3,1
2,931.13,3,1
2,1356.1,2,1
2,972.23,1,1
2,1602.2,1,1
2,863.15,3,0
2,922.24,2,1
2,745.24,0,1
2,761.25,0,1
2,1224.2,1,1
2,843.13,1,1
2,2023.2,1,1
2,1275.2,1,1
2,1117.1,1,1
2,1086.2,2,0
2,1111.3,3,0
2,824.25,3,0
2,1676.2,3,1
2,2006.3,3,1
2,1139.2,2,1
2,1442.3,2,1
2,822.14,0,1
2,1026.2,2,0
2,1166.2,2,1
2,1380.3,1,0
2,1338.2,1,1
2,1185.2,1,1
2,2111.3,1,1
2,2856.3,2,0
2,1179.2,3,0
2,1345.3,2,1
2,1128.2,2,1
2,1384.2,3,1
2,3173.2,1,0
2,900.16,3,1
2,877.21,2,1
2,1008.2,2,1
2,1068.2,1,0
2,1599.3,3,1
2,1035.1,3,1
2,975.26,3,1
2,1989.2,2,1
2,826.16,2,1
2,910.22,2,1
2,1663.3,1,0
2,914.13,2,1
2,970.16,2,1
2,1032.2,3,1
2,2867.3,1,0
2,910.16,3,0
2,1200.2,3,0
2,1124.2,2,1
2,2821.3,2,1
2,993.15,2,1
2,1278.3,2,1
2,1080.2,1,0
2,1082.2,3,1
2,916.14,2,1
2,2788.3,3,1
2,2257.2,1,1
2,1172.2,3,1
2,882.15,3,1
2,2134.8,3,0
2,1495.2,2,0
2,1033.3,0,1
2,1420.2,1,0
2,3817.3,1,0
2,2429.3,1,0
2,4785.4,1,1
2,2336.3,2,1
2,2208.2,1,1
2,2332.3,1,0
2,3300.3,1,1
2,1814.2,1,1
2,1105.3,3,0
2,1139.3,0,1
2,1194.2,1,1
2,927.15,2,1
2,1062.2,2,1
2,745.22,2,0
2,1657.3,2,1
2,1012.2,3,0
2,2888.3,1,0
2,1066.2,0,1
2,828.2,3,1
2,2704.2,1,0
2,929.22,2,0
2,1330.3,3,1
2,1345.2,3,1
2,1296.2,3,1
2,1113.3,3,1
2,1266.3,1,0
2,1189.3,3,1
2,3529.3,2,1
2,2498.3,1,1
2,899.19,3,1
2,1900.2,3,1
2,4861.3,1,1
2,1080.2,2,0
2,1426.3,3,1
2,2861.3,2,1
2,848.18,0,1
2,1299.3,2,0
2,1725.3,1,1
2,884.21,1,1
2,758.15,3,1
2,1117.2,2,1
2,2069.3,3,1
2,1104.2,3,1
2,3016.2,1,0
2,1229.2,3,1
2,1273.3,2,1
2,932.27,0,1
2,1940.2,2,1
2,1346.3,3,1
2,922.24,3,1
2,1938.3,1,1
2,2185.2,2,0
2,2678.3,3,0
2,3226.3,1,0
2,5765.4,1,0
2,1125.1,3,1
2,1241.4,3,1
2,861.26,0,1
2,2488.2,1,1
2,936.19,3,1
2,1192.3,3,0
2,1046.2,3,1
2,833.27,0,1
2,1029.1,2,1
2,1064.2,1,0
2,1003.2,2,1
2,792.26,0,1
2,766.17,3,0
2,876.28,0,1
2,1214.2,3,1
2,930.26,3,1
2,1130.2,3,1
2,962.18,2,1
2,1025.3,3,1
2,1500.2,2,0
2,1150.2,1,1
2,957.26,2,1
2,932.25,0,1
2,1459.3,2,1
2,1141.2,3,1
2,1013.3,1,1
2,1002.2,1,0
2,1247.3,2,1
2,1073.2,3,1
2,1323.2,3,1
2,988.26,3,1
2,1817.3,3,1
2,1229.1,3,1
2,2248.3,2,1
2,1260.2,3,1
2,3471.4,3,1
2,993.15,3,1
2,1190.2,2,1
2,963.23,3,1
2,986.25,0,1
2,839.18,0,1
2,2307.2,1,0
2,1300.2,2,1
2,1077.2,2,1
2,1006.2,3,1
2,1107.3,3,1
2,3491.3,1,0
2,1093.2,3,1
2,1559.2,3,1
