stype,rt,diff,correct
1,3316.2,2,1
1,1826.2,2,0
1,1679.2,2,1
1,1905.2,3,1
1,2178.3,1,0
1,1215.2,3,1
1,4612.3,1,0
1,930.17,0,1
1,2296.2,1,1
1,2818.3,1,1
1,1390.3,1,1
1,940.23,0,1
1,1060.2,3,1
1,989.23,3,1
1,923.24,3,1
1,795.21,0,1
1,1008.2,2,1
1,1341.3,1,0
1,4436.3,1,1
1,1337.1,3,1
1,1272.3,0,1
1,939.28,0,1
1,1489.2,1,1
1,1131.2,2,1
1,963.24,3,0
1,970.26,3,1
1,976.17,3,1
1,1285.2,1,0
1,1112.3,2,0
1,2936.3,3,1
1,2463.2,3,1
1,5266.3,1,0
1,3693.4,1,1
1,1487.3,1,0
1,3065.2,2,0
1,3611.3,3,1
1,2096.3,3,1
1,7033.5,1,0
1,3045.3,2,0
1,6176.4,1,1
1,1439.2,2,1
1,979.26,3,1
1,1441.2,2,1
1,1956.2,1,1
1,1035.3,1,1
1,1927.2,1,1
1,1111.2,3,0
1,1215.2,2,1
1,3532.3,1,0
1,3876.4,1,0
1,1878.2,3,1
1,1616.1,2,1
1,957.26,3,1
1,6531.4,1,1
1,3259.3,2,0
1,7158.5,2,1
1,3310.4,1,0
1,6558.4,2,0
1,1182.2,0,1
1,1836.2,3,1
1,2690.4,1,0
1,1077.2,2,1
1,1229.2,3,1
1,1305.2,2,0
1,2195.3,1,1
1,2745.3,2,0
1,1623.2,1,1
1,3324.3,1,1
1,1644.3,1,1
1,2224.3,2,0
1,1067.2,2,1
1,1358.3,3,1
1,989.24,3,1
1,963.18,2,0
1,1801.2,3,1
1,5494.4,1,0
1,1047.3,2,1
1,1386.2,2,1
1,5688.4,1,1
1,1362.2,1,1
1,2064.3,1,1
1,915.27,0,1
1,907.26,3,1
1,3156.3,1,0
1,978.26,2,1
1,1073.2,3,1
1,947.17,3,1
1,1066.2,2,1
1,1181.3,2,1
1,1714.3,1,1
1,1114.2,2,0
1,1276.2,0,1
1,998.24,3,1
1,1594.3,1,0
1,1360.3,1,1
1,1191.1,2,1
1,1684.3,1,1
1,2189.2,2,1
1,1547.3,2,1
1,1058.2,2,1
1,1277.2,1,0
1,2495.3,3,1
1,1560.2,3,1
1,1031.3,0,1
1,4251.4,2,1
1,1830.2,1,0
1,1258.2,3,1
1,925.19,0,1
1,1221.3,2,1
1,930.26,0,1
1,1025.1,2,1
1,1053.2,2,1
1,2440.3,2,1
1,1036.2,2,1
1,2800.3,1,1
1,2460.2,3,1
1,1591.3,3,1
1,1149.2,3,1
1,1004.2,2,1
1,1392.2,2,0
1,1556.5,1,0
1,1379.1,2,0
1,3849.3,1,0
1,3612.3,1,1
1,2177.3,3,0
1,1927.3,2,1
1,1304.2,3,1
1,1112.2,3,1
1,1049.2,2,1
1,1059.2,2,0
1,1103.2,3,0
1,2295.2,2,1
1,1097.3,0,1
1,3026.4,1,0
1,2390.3,1,1
1,1068.1,3,1
1,1182.2,2,1
1,1084.2,2,1
1,942.13,3,1
1,1012.2,2,0
1,1874.3,2,0
1,4492.4,1,0
1,1166.1,2,1
1,1372.2,3,0
1,2843.3,1,0
1,974.19,0,1
1,1892.2,3,1
1,2422.2,1,0
1,2170.3,3,1
1,3704.4,2,1
1,1873.2,2,1
1,2355.2,2,1
1,1850.3,3,1
1,2477.3,1,0
1,3040.3,2,1
1,1211.2,3,1
1,3720.4,2,1
1,4624.4,1,0
1,1557.2,2,1
1,3308.3,2,1
1,1213.2,3,1
1,1193.2,3,1
1,1182.3,0,1
1,2956.3,2,1
1,2987.3,2,1
1,3081.4,1,1
1,2314.2,3,1
1,3019.2,2,1
1,2848.3,2,0
1,2811.2,1,1
1,1095.2,0,1
1,1009.1,3,1
1,1846.3,3,0
1,944.15,3,1
1,840.19,0,1
1,988.15,2,1
1,2634.3,1,1
1,1764.3,1,1
1,1587.2,3,1
1,929.22,0,1
1,2108.5,2,1
1,901.19,0,1
1,2182.3,2,1
1,3020.3,1,1
1,1888.3,2,1
1,1233.3,1,1
1,893.16,0,1
1,2295.2,3,1
1,4256.3,1,0
1,1323.3,1,1
1,1203.1,3,1
1,6433.4,1,0
1,996.22,3,1
1,1866.3,2,1
1,4188.3,1,1
1,2689.2,2,1
1,2275.3,2,1
1,1902.2,2,1
1,2591.3,3,1
1,1644.2,2,1
1,999.25,0,1
1,796.25,2,1
1,1082.2,3,1
1,1052.1,1,1
1,1845.3,3,1
1,1473.2,3,1
1,1340.2,3,1
1,1076.2,3,1
1,1486.3,2,1
1,1287.3,3,1
1,1816.2,2,1
1,981.18,3,1
1,1355.3,1,0
1,947.27,0,1
1,1401.2,2,0
1,1847.2,1,0
1,2338.3,2,1
1,2601.3,3,0
1,1343.2,3,1
1,1375.2,3,1
1,3276.4,2,1
1,1358.2,1,1
1,1021.2,3,1
1,1002.2,0,1
1,943.23,3,1
1,1845.3,1,0
1,985.17,3,1
1,983.18,0,1
1,1005.2,0,1
1,2297.3,1,1
1,2091.2,1,1
1,1237.1,2,0
1,2816.4,1,1
1,1125.3,2,0
1,2133.2,1,1
1,1197.2,2,0
1,2338.3,2,1
1,3649.4,2,1
1,1485.2,1,1
1,991.18,3,1
1,1551.1,1,1
1,1295.3,2,0
1,1200.3,0,1
1,1564.2,2,1
1,859.28,0,1
1,2550.3,1,0
1,894.2,0,1
1,1286.2,3,1
1,1536.3,1,1
1,1184.3,1,0
1,982.27,0,1
1,1931.2,1,1
1,1075.2,1,0
1,2142.3,2,0
1,1124.2,0,1
1,1068.2,3,1
1,1447.3,1,1
1,1331.3,2,0
1,1162.2,2,0
1,2025.2,3,1
1,2221.3,3,1
1,1218.3,0,1
1,2605.2,1,1
1,1186.2,3,1
1,2600.2,1,1
1,1446.2,3,1
1,2824.2,1,1
1,2053.2,3,1
1,2832.4,1,1
1,2108.2,2,1
1,2237.2,1,1
1,1584.2,0,1
1,2950.4,2,1
1,1438.3,3,1
1,3625.3,2,0
1,1397.2,3,1
1,1394.3,1,1
1,2184.3,1,1
1,1598.2,3,1
1,1106.2,3,1
1,843.28,0,1
1,1063.2,3,1
1,3146.3,1,0
1,1272.2,2,1
1,1187.3,2,0
1,2313.3,1,0
1,1001.2,3,1
1,1198.1,3,1
1,2172.3,2,1
1,1074.2,3,1
1,2755.3,1,0
1,1075.1,2,1
1,989.26,3,1
1,963.22,3,1
1,3816.3,1,0
1,894.18,0,1
1,1663.3,2,1
1,1250.3,2,1
1,2636.2,1,0
1,1864.2,1,0
1,2021.5,1,1
1,1610.2,1,1
1,949.2,0,1
1,1837.3,3,1
1,1369.3,2,1
1,1167.2,3,1
1,1590.2,2,0
1,2395.2,1,0
1,2425.3,2,1
1,2629.4,1,0
1,1832.2,3,1
1,3293.3,2,0
1,1959.3,3,1
1,3701.4,1,1
1,1806.3,3,1
