stype,rt,diff,correct
2,1281.1,2,1
2,768.21,3,1
2,759.11,1,1
2,886.19,2,1
2,816.1,3,0
2,860.21,3,1
2,782.13,3,1
2,764.2,3,1
2,1387.2,2,1
2,792.19,3,1
2,733.09,0,1
2,1036.2,3,1
2,793.19,3,1
2,942.13,1,1
2,821.13,1,1
2,921.21,1,0
2,761.19,2,1
2,928.22,1,1
2,1040.1,1,1
2,1180.1,1,1
2,681.31,0,1
2,906.22,1,0
2,915.14,2,1
2,676.15,0,1
2,926.21,1,0
2,1382.2,2,0
2,923.16,3,1
2,1316.2,2,0
2,1060.2,3,0
2,1959.3,3,0
2,1438.1,1,0
2,1577.2,1,1
2,3087.2,2,0
2,2337.2,1,1
2,1368.1,1,1
2,1367.2,2,0
2,1990.2,1,0
2,2987.3,1,1
2,1672.1,3,0
2,3363.2,1,1
2,945.23,0,1
2,1329.2,2,1
2,1040.1,3,1
2,1244.1,2,1
2,1120.2,2,1
2,1351.2,1,1
2,830.13,3,1
2,1026.2,1,1
2,934.23,3,1
2,990.21,1,1
2,835.13,2,1
2,982.21,3,1
2,1076.2,3,1
2,2950.3,2,1
2,1117.1,1,1
2,1006.1,3,1
2,1082.2,1,0
2,1020.1,3,0
2,984.17,3,1
2,1198.2,2,0
2,1891.2,2,1
2,1637.2,2,0
2,1360.1,1,0
2,2071.2,1,0
2,1266.2,2,1
2,1285.2,1,0
2,1238.1,3,1
2,1993.3,2,1
2,2231.2,2,1
2,1034.2,1,0
2,1134.1,1,1
2,1822.2,1,0
2,2961.3,1,0
2,2737.3,1,0
2,1528.3,2,0
2,1184.2,2,1
2,2078.3,1,1
2,1752.3,2,1
2,1111.1,3,1
2,1175.2,1,1
2,901.23,2,1
2,1191.1,3,1
2,1484.2,1,1
2,1014.2,3,1
2,1059.1,2,1
2,989.22,3,1
2,858.12,2,0
2,1357.2,1,1
2,868.28,1,1
2,863.19,2,1
2,1696.2,2,1
2,761.23,0,1
2,736.21,0,1
2,928.14,3,1
2,976.12,1,1
2,629.24,0,1
2,881.19,3,1
2,771.2,3,1
2,897.13,1,1
2,898.14,1,1
2,859.2,3,1
2,710.15,3,1
2,1534.1,1,1
2,998.2,1,1
2,851.17,1,0
2,1087.2,2,1
2,783.11,3,1
2,629.13,3,1
2,697.12,3,1
2,1082.2,1,1
2,980.14,1,1
2,618.13,0,1
2,813.2,3,1
2,842.16,2,0
2,1381.1,2,1
2,836.22,3,1
2,775.18,3,1
2,756.2,2,1
2,947.1,2,1
2,827.19,2,1
2,1536.7,3,0
2,1343.2,3,1
2,951.14,3,1
2,942.13,2,1
2,1326.2,2,1
2,934.12,3,1
2,926.14,2,1
2,917.14,0,1
2,901.2,3,1
2,806.24,0,1
2,1451.1,1,1
2,1054.2,3,0
2,2233.2,1,1
2,1012.2,3,0
2,1057.1,2,1
2,987.2,3,0
2,2049.2,1,0
2,1125.2,2,1
2,853.13,3,1
2,831.21,2,1
2,955.18,3,1
2,858.14,1,1
2,1309.1,2,1
2,1589.1,2,1
2,1178.2,2,1
2,880.16,1,0
2,971.15,1,1
2,1081.2,3,0
2,1306.3,2,1
2,1211.2,1,1
2,3256.2,1,1
2,851.18,3,1
2,1821.2,1,1
2,1433.2,1,1
2,917.16,0,1
2,1061.2,2,1
2,913.19,3,1
2,985.21,2,1
2,1870.2,1,1
2,912.2,3,1
2,865.18,1,1
2,1123.2,1,1
2,860.11,2,1
2,1341.2,2,0
2,998.1,2,0
2,1323.2,2,0
2,1387.2,3,1
2,1009.1,2,1
2,2070.2,2,1
2,1208.2,1,1
2,1029.2,0,1
2,1016.2,3,1
2,1021.2,3,1
2,937.14,1,1
2,993.1,3,0
2,1022.1,3,1
2,1978.3,2,1
2,1855.2,1,0
2,1667.2,3,0
2,1125.1,2,1
2,2359.3,1,0
2,2599.3,1,0
2,1548.2,1,1
2,731.21,0,1
2,1675.2,2,0
2,1046.2,3,1
2,1080.1,1,1
2,1026.2,3,1
2,1077.2,3,0
2,1216.3,2,0
2,1043.2,3,1
2,1087.2,2,1
2,1009.2,2,1
2,1134.2,2,1
2,981.12,2,1
2,1803.2,1,1
2,999.2,1,1
2,948.21,2,1
2,859.11,3,1
2,814.16,0,1
2,1011.2,2,1
2,847.22,1,1
2,834.13,3,1
2,902.18,3,1
2,991.18,2,1
2,1076.2,1,1
2,1197.1,2,1
2,835.21,3,1
2,870.18,2,1
2,833.2,1,1
2,925.12,1,1
2,1157.2,2,1
2,1739.2,2,1
2,938.23,2,1
2,842.12,3,1
2,925.22,1,1
2,917.2,3,1
2,742.1,3,1
2,1172.1,3,1
2,1499.2,1,1
2,979.2,2,1
2,1017.2,1,1
2,934.13,2,1
2,1901.2,1,0
2,1166.1,2,1
2,1101.2,3,1
2,2278.2,1,1
2,1047.2,3,1
2,962.21,1,0
2,929.18,1,0
2,1681.2,2,1
2,2419.3,1,1
2,711.21,0,1
2,888.21,3,1
2,1113.1,3,0
2,1050.1,3,1
2,980.2,3,0
2,1003.2,3,1
2,1255.2,1,1
2,866.15,1,1
2,1569.6,3,1
2,1032.3,3,1
2,1076.2,1,1
2,1142.2,3,1
2,982.19,2,1
2,740.25,0,1
2,1146.1,2,1
2,953.22,3,0
2,953.25,3,1
2,1072.2,2,1
2,1121.2,1,1
2,921.22,2,1
2,1417.2,1,1
2,1366.2,2,1
2,829.14,3,1
2,1000.1,2,1
2,877.1,3,1
2,831.24,3,1
2,1131.1,1,1
2,787.16,0,1
2,969.2,1,0
2,879.23,3,1
2,1673.2,1,1
2,891.3,0,1
2,725.2,1,1
2,797.2,3,0
2,1074.1,1,1
2,836.23,3,1
2,1064.2,1,1
2,859.15,2,0
2,933.14,1,1
2,972.22,3,1
2,1059.2,2,1
2,926.23,2,1
2,1078.1,1,1
2,959.15,1,0
2,1214.2,3,1
2,1074.2,2,1
2,1076.1,2,0
2,1046.5,1,0
2,986.26,3,1
2,935.2,3,1
2,1159.1,2,1
2,1061.2,3,1
2,1400.2,2,1
2,989.13,1,1
2,803.12,2,1
2,960.19,2,0
2,767.13,3,0
2,973.21,1,1
2,795.09,3,1
2,752.14,3,1
2,944.2,2,1
2,782.21,2,1
2,964.14,2,1
2,1450.2,2,1
2,2269.2,2,0
2,1024.2,3,1
2,764.25,3,1
2,890.22,1,0
2,1804.4,1,1
2,881.19,3,1
2,1299.1,3,0
2,1028.1,2,1
2,840.22,3,0
2,1348.2,1,0
2,970.15,1,0
2,729.24,0,1
2,1081.2,2,1
2,786.24,0,1
2,823.22,3,1
2,851.2,1,1
2,934.2,3,0
2,878.19,3,1
2,1184.1,3,0
2,1125.2,2,1
2,1357.1,2,1
2,948.19,2,1
2,1315.2,3,1
2,724.19,0,1
2,1179.2,2,1
2,993.2,1,1
2,766.23,3,0
2,1037.2,2,1
2,1081.2,1,1
2,986.23,1,1
2,839.15,0,1
2,890.18,3,0
2,781.25,0,1
2,977.19,3,1
2,943.14,3,1
2,926.19,3,1
2,951.15,3,1
2,990.21,1,1
2,931.15,1,0
2,1010.2,3,1
2,1055.2,1,0
2,1090.2,2,1
2,1122.1,2,1
2,955.21,3,1
2,778.2,0,1
2,912.21,3,1
2,1040.1,2,1
2,892.21,3,1
2,1021.2,2,1
2,848.25,0,1
2,987.13,3,1
2,993.15,2,1
2,967.21,2,1
2,845.22,3,1
2,824.13,2,1
2,1195.3,2,1
2,1209.1,1,1
2,933.24,0,1
2,813.14,1,1
2,985.14,2,1
2,903.23,2,1
2,879.21,0,1
2,849.11,2,1
2,956.22,2,0
2,1859.4,1,0
2,1335.2,2,1
2,863.16,0,1
2,1736.3,1,0
2,920.21,1,1
2,809.22,2,1
2,926.13,3,1
2,1190.1,2,1
2,1898.3,1,0
2,1052.2,2,1
2,967.16,1,0
2,1494.2,2,1
2,1159.2,2,1
2,966.23,3,1
2,1028.1,1,1
2,824.24,3,1
2,1044.1,2,1
